"_id","author_details","title","isbn","publisher","date_published","rating","bookshelf_id","bookshelf","read","series_details","pages","notes","list_price","anthology","location","read_start","read_end","format","signed","loaned_to","anthology_titles","description","genre","language","date_added","goodreads_book_id","last_goodreads_sync_date","last_update_date","book_uuid",
"3","Willingham, Bill|Andrews, Esao|Bolton, John|Buckingham, Mark|Jean, James|Kim, Derek Kirk|McPherson, Tara|Thompson, Jill|Wheatley, Mark|Kaluta, Michael W.|Vess, Charles|Klein, Todd|Kaluta, Michael Wm.|Kaluta, Michael William","Fables: 1001 Nights Of Snowfall","9781401203672","Vertigo","2006-10-18","0","1,","Default,","0","Fables","144","","19.99","0","","","","Hardcover","0","","","Don't miss this stunning original hardcover collection written by FABLES creator Bill Willingham set in the early days of Fabletown, long before the FABLES series began! Featuring sequences illustrated by Charles Vess, Brian Bolland, John Bolton, Michael Wm. Kaluta, James Jean, Mark Buckingham, Jill Thompson and more, 1,001 NIGHTS OF SNOWFALL is both an entry point to the critically acclaimed series and an essential part of Willingham's enchanting and imaginative FABLES mythos.<br><br>Traveling in Arabia as an Ambassador from the exiled FABLES community, Snow White is captured by the local sultan who wants to marry her (and then kill her). But the clever Snow attempts to charm the sultan instead by playing Scheherazade, telling him fantastic stories for a total of 1,001 nights. Running the gamut from horror to dark intrigue to mercurial coming-of-age, FABLES:1,001 NIGHTS OF SNOWFALL reveals the secret histories of familiar FABLES characters through a series of compelling and visually illustrative tales.","","English","2014-01-21 19:02:41","21322","2014-09-27 04:21:17","2014-11-23 18:56:23","a10aa1d3b85c3a56f1bee3bbe8a100e0",
"4","Vaughan, Brian K.|Guerra, Pia|Jr., José Marzán|Marzán, José","Y: the Last Man, Vol. 1: Unmanned","9781563899805","Vertigo","2003-01-01","0","1,","Default,","0","Y: The Last Man (1)|Y: The Last Man (1\\|1-5)","126","","14.99","0","","","","Paperback","0","","","""Y"" is none other than unemployed escape artist Yorick Brown (his father was a Shakespeare buff), and he's seemingly the only male human left alive after a mysterious plague kills all Y-chromosome carriers on earth. But why are he and his faithful companion, the often testy male monkey Ampersand, still alive? He sets out to find the answer (and his girlfriend), while running from angry female Republicans (now running the government), Amazon wannabes that include his own sister (seemingly brainwashed), and other threats. The Vertigo team of Brian K. Vaughan, Pia Guerra, and Jose Marzan Jr. have given us a great read!","Comics & Graphic Novels / Science Fiction","English","2014-01-21 19:02:53","156534","2014-09-27 04:21:23","2014-11-23 18:56:25","2c8e956ff7d7ef2342767d736b0b8b51",
"5","Vaughan, Brian K.|Guerra, Pia|Jr., José Marzán","Y: the Last Man, Vol. 2: Cycles","9781401200763","Vertigo","2003-09-01","0","1,","Default,","0","Y: The Last Man (2)|Y: The Last Man (2\\|6-10)","128","","14.99","0","","","","Paperback","0","","","<b>WINNER OF THREE EISNER AWARDS</b><p>As Yorick Brown, the last man on Earth, begins to make his way across the country to California, he and his companions are forced to make an unscheduled stop in Marrisville, Ohio—a small town with a big secret. Collects issues #6-10 of the runaway hit Vertigo series by Brian K. Vaughan (EX-MACHINA, RUNAWAYS) and Pia Guerra.</p>","Fiction / General","English","2014-01-21 19:03:05","332631","2014-09-27 04:21:29","2014-11-23 18:56:27","b2359c1707216e1f32367469608ae8b2",
"6","Vaughan, Brian K.|Staples, Fiona","Saga, Volume 1","9781607066019","Image Comics","2012-10-23","0","1,","Default,","0","Saga (6\\|Vol. 1)|Saga Collected (1)|Saga","160","","9.99","0","","","","Paperback","0","","","When two soldiers from opposite sides of a never-ending galactic war fall in love, they risk everything to bring a fragile new life into a dangerous old universe. <br><br>From New York Times bestselling writer Brian K. Vaughan (Y: The Last Man, Ex Machina) and critically acclaimed artist Fiona Staples (Mystery Society, North 40), <em>Saga</em> is the sweeping tale of one young family fighting to find their place in the worlds. Fantasy and science fiction are wed like never before in this sexy, subversive drama for adults. <br><br>This specially priced volume collects the first six issues of the smash-hit series The Onion A.V. Club calls ""the emotional epic Hollywood wishes it could make.""<br><br>Collects Saga issues #1-6.","Comics & Graphic Novels / Science Fiction","English","2014-01-21 19:03:15","15704307","2014-09-27 04:21:36","2014-11-23 18:56:30","d8c39c8be57d2758ffec7b23bd7f994c",
"7","Vaughan, Brian K.|Staples, Fiona","Saga, Volume 2","9781607066927","Image Comics","2013-07-02","0","1,","Default,","0","Saga (12\\|Vol. 2)|Saga Collected (2)|Saga","144","","14.99","0","","","","Paperback","0","","","The smash-hit ongoing epic continues! Thanks to her star-crossed parents Marko and Alana, newborn baby Hazel has already survived lethal assassins, rampaging armies, and alien monstrosities, but in the cold vastness of outer space, the little girl encounters something truly frightening: her grandparents!<br><br>Collects Saga issues #7-12","Comics & Graphic Novels / Science Fiction","English","2014-01-21 19:03:25","17131869","2014-09-27 04:21:42","2014-11-23 18:56:32","708bb26b573c619f9377589069148afd",
"9","Milligan, Peter","Tank Girl: the Odyssey","9781845767631","Titan Books","2009-11-10","0","1,","Default,","0","Tank Girl|Remastered Edition|Unnumbered)|Tank Girl: The Odissey","112","","14.95","0","","","","Paperback","0","","","A demented take on Homer’s classical Greek epic, <em>The Odyssey</em>, brought to you by the twisted genius of Peter Milligan (<em>X-Statix</em>) and Tank Girl co-creator and artist, Jamie Hewlett (<em>Gorillaz</em>).<br><br>Booga, Tank Girl’s husband, is being wooed by Hollywood agents but Tank Girl is missing and his resolve is crumbling, fast! Tele, their TV-headed son, sets out on a mercy dash to find his mother... in the process triggering a chain of events that will see Tank Girl, not only, face death itself, the siren call of Goth rock and a cyclopean hotel proprietor, but also a host of other scenes and characters based on <em>The Odyssey</em>... give or take the odd — ahem — “idiosyncratic” <em>Tank Girl </em>twist. With a new introduction from Alan Martin.","Comics & Graphic Novels / Science Fiction","English","2014-01-21 19:03:46","2314381","2014-09-27 04:21:48","2014-11-23 18:56:34","26f5d5a80ee7dbcd35f0c29a351001fe",
"10","Martin, Alan|Hewlett, Jamie|Martin, Alan C|Martin, Alan C.","Tank Girl 2","9781845767594","Titan Books","2009-04-28","0","1,2,","Default,to-read,","0","Tank Girl (2)","120","","16.95","0","","","","Paperback","0","","","She’s back to wreck her own unique brand of havoc! From the depths of the outback she charges, astride her fabulous tank! Run for the Hills! It’s... Tank Girl!<br><br>Marking the 20th anniversary of Tank Girl and starting off where book one ended, these are the continuing adventures of everybody’s favourite beer-swilling, chain-smoking, kangaroo-worrying lunatic and all round style icon. After escaping from asylum, Tank Girl goes on the road with Jack Nicholson and Peter Fonda, solves a mystery or two and finds time to join Booga’s Treehouse Club. Featuring rarely seen material from Jamie Hewlett and presented for the first time ever, in chronological order. <br><br><em>Warning: Adults only!</em>","Comics & Graphic Novels / Science Fiction","English","2014-01-21 19:03:57","2314377","2014-09-27 04:21:55","2014-11-23 18:56:36","22a9f4ad7e23030419989f96a6af64ad",
"11","Moore, Alan|O'Neill, Kevin|Zone, Ray","League Of Extraordinary Gentlemen: Black Dossier, The","9781401203061","America's Best Comics","2007-11-13","0","1,","Default,","0","The League of Extraordinary Gentlemen (2.5)|The League of Extraordinary Gentlemen","208","","29.99","0","","","","Hardcover","0","","","<p>England in the mid 1950s is not the same as it was. The powers that be have instituted...some changes. The League of Extraordinary Gentlemen have been disbanded and disavowed, and the country is under the control of an iron-fisted regime. Now, after many years, the still youthful Mina Murray and a rejuvenated Allan Quatermain return and are in search of some answers. Answers that can only be found in a book buried deep in the vaults of their old headquarters, a book that holds the key to the hidden history of the League throughout the ages: The Black Dossier. As Allan and Mina delve into the details of their precursors, some dating back centuries, they must elude their dangerous pursuers who are Hell-bent on retrieving the lost manuscript... and ending the League once and for all.<br><br><em>The League of Extraordinary Gentlemen: Black Dossier</em> is an elaborately designed, cutting edge volume that will include a  Tijuana Bible  insert and a 3-D section complete with custom glasses, as well as additional text pieces, maps, and a stunning, cutaway double page spread of Captain Nemo's Nautilus submarine by acclaimed LOEG artist Kevin O Neill.</p>","Fiction / War & Military","English","2014-01-21 19:04:52","107009","2014-09-27 04:22:01","2014-11-23 18:56:38","1531d891d14dd49db570f44bc1592c13",
"12","Moore, Alan|O'Neill, Kevin|MOORE, O'NEILL","League Of Extraordinary Gentlemen: Century: 1910, The","9780861661602","Knockabout","2009","0","1,","Default,","0","The League of Extraordinary Gentlemen: Century (1)|The League of Extraordinary Gentlemen (3.1\\|Volume 3, Part 1)|The League of Extraordinary Gentlemen single issues (13)|The League of Extraordinary Gentlemen","80","","","0","","","","Paperback","0","","","Paperback: 80 pages\nPublisher: DC COMICS; First Printing edition (2009)\nLanguage: English\nISBN-10: 0861661605\nISBN-13: 978-0861661602\nProduct Dimensions: 10.1 x 6.4 x 0.2 inches\nShipping Weight: 8 ounces","","English","2014-01-21 19:05:09","6086314","2014-09-27 04:22:08","2014-11-23 18:56:40","4fe0fdb5085d4aed8c855b4bd43ddcd3",
"13","Moore, Alan|Lloyd, David|Whitaker, Steve|Dodds, Siobhan","V For Vendetta","9780930289522","Dc Comics/vertigo","1995-04-01","0","1,","Default,","0","V for Vendetta","286","","19.99","0","","","","Paperback","0","","","<p>A powerful story about loss of freedom and individuality, <em>V for Vendetta</em> takes place in a totalitarian England following a devastating war that changed the face of the planet. In a world without political freedom, personal freedom and precious little faith in anything comes a mysterious man in a white porcelain mask who fights political oppressors through terrorism and seemingly absurd acts. It's a gripping tale of the blurred lines between ideological good and evil.</p>","Comics & Graphic Novels / Science Fiction","English","2014-01-21 19:05:24","403459","2014-09-27 04:22:15","2014-11-23 18:56:42","5009e19da9ae01d1daac56c2b392a3d8",
"14","Mignola, Mike|Byrne, John|Mignola, Michael","Hellboy, Vol. 1: Seed Of Destruction","9781593070946","Dark Horse","2003-12-09","0","1,","Default,","0","Hellboy (1)|Hellboy graphic novels (1)|Hellboy: Edición rústica (1)|Hellboy: Edición cartoné (1)|Hellboy","128","","17.99","0","","","","Paperback","0","","","<em>Hellboy</em> is one of the most celebrated comics series in recent years. The ultimate artists' artist and a great storyteller whose work is in turns haunting, hilarious, and spellbinding, Mike Mignola has won numerous awards in the comics industry and beyond. When strangeness threatens to engulf the world, a strange man will come to save it. Sent to investigate a mystery with supernatural overtones, Hellboy discovers the secrets of his own origins, and his link to the Nazi occultists who promised Hitler a final solution in the form of a demonic avatar.","Comics & Graphic Novels / Horror","English","2014-01-21 19:05:41","102458","2014-09-27 04:23:25","2014-11-23 18:56:45","3a0d3af681a7a183c255152c59a4172f",
"15","Mignola, Mike|Brosseau, Pat|Sinclair, James","Hellboy, Vol. 2: Wake the Devil","9781593070953","Dark Horse","2003-12-09","0","1,","Default,","0","Hellboy (2)|Hellboy graphic novels (2)|Hellboy: Edición rústica (2)|Hellboy: Edición cartoné (2)|Hellboy","144","","17.99","0","","","","Paperback","0","","","Hellboy is one of the most celebrated comics series in recent years. The ultimate artists' artist and a great storyteller whose work is in turns haunting, hilarious, and spellbinding, Mike Mignola has won numerous awards in the comics industry and beyond. When strangeness threatens to engulf the world, a strange man will come to save it. Sent to investigate a mystery with supernatural overtones, Hellboy discovers the secrets of his own origins, and his link to the Nazi occultists who promised Hitler a final solution in the form of a demonic avatar.","Comics & Graphic Novels / Horror","English","2014-01-21 19:05:51","102459","2014-09-27 04:23:39","2014-11-23 18:56:47","21b2996bcccd08bd5d699c601ccea595",
"16","Mignola, Mike|Mignola, Michael|Sinclair, James|Hollingsworth, Matt|Brosseau, Pat|Stewart, James Sinclair; Matthew Hollingsworth; Dave","Hellboy, Vol. 3: the Chained Coffin and Others","9781593070915","Dark Horse","2004-02-03","0","1,","Default,","0","Hellboy (3)|Hellboy graphic novels (3)|Hellboy: Edición rústica (3)|Hellboy","168","","19.99","0","","","","Paperback","0","","","Mike Mignola's story notes accompany the long out-of-print stories, giving insight into their creation and inspiration. Some consider Mignola's short stories better than the full-length novels, and this collection makes a strong argument for that, especially with Mignola's masterpiece, ""The Corpse.""","Juvenile Nonfiction / Humor / Comic Strips & Cartoons","English","2014-01-21 19:06:01","102461","2014-09-27 04:23:55","2014-11-23 18:56:48","b747927b39bc3cd351eca1448e21fe52",
"17","Mignola, Mike|Brosseau, Pat|Mignola, Dave Stewart; Mike","Hellboy, Vol. 4: the Right Hand Of Doom","9781593070939","Dark Horse","2004-02-10","0","1,","Default,","0","Hellboy (4)|Hellboy graphic novels (4)|Hellboy: La Mano Derecha del Destino|Hellboy: Edición cartoné (4)|Hellboy","144","","17.99","0","","","","Paperback","0","","","The second collection of short stories by award-winning cartoonist Mike Mignola includes the 1999 hit series <em>Box Full of Evil</em>, The Right Hand of Doom, which concisely and thoroughly examines Hellboy's history, and <em>Pancakes</em>, Mignola's most hilarious and surprising story to date; and others—many presented here in color for the first time.","Comics & Graphic Novels / Horror","English","2014-01-21 19:06:09","102460","2014-09-27 04:24:15","2014-11-23 18:56:50","8f1f6f6ec2c23d0ee7092ce47a54c523",
"18","Ellis, Warren|Robertson, Darick|Ramos, Rodney|Eyring, Nathan|Robins, Clem","Transmetropolitan, Vol. 2: Lust For Life","9781401222611","Vertigo","1999-01-01","0","1,","Default,","0","Transmetropolitan (2)|New Edition","144","","14.99","0","","","","Paperback","0","","","Outlaw journalist Spider Jerusalem attacks the injustices of his surreal 21st Century through black humor as an investigative reporter for the newspaper The Word in this critically-acclaimed graphic novel series written by comics' superstar Warren Ellis, the co-creator of PLANETARY and THE AUTHORITY.<br><br>In this volume, Jerusalem targets three of society's most worshipped and warped pillars: politics, religion, and television. When Spider tries to shed light on the atrocities of these institutions, he finds himself fleeing a group of hitmen/kidnappers in possession of his ex-wife's frozen head, a distorted creature alleging to be his son, and a vicious talking police dog.","Comics & Graphic Novels / Science Fiction","English","2014-01-21 19:08:53","6314697","2014-09-27 04:24:21","2014-11-23 18:56:53","2ba83b8a28cf2cbbafd8242a5c564feb",
"19","Ellis, Warren|Robertson, Darick|Ramos, Rodney","Transmetropolitan, Vol. 3: Year Of the Bastard","9781401223120","Vertigo","1999-09-01","0","1,","Default,","0","Transmetropolitan (3)|New Edition","144","","14.99","0","","","","Paperback","0","","","Investigative reporter Spider Jerusalem attacks the injustices of the 23rd Century surroundings while working for the newspaper The Word in this critically-acclaimed graphic novel series written by comics superstar Warren Ellis, the co-creator of PLANETARY and THE AUTHORITY.<br><br>In this third volume, Spider Jerusalem begins to crumble under the pressure of sudden and unwanted fame. Having had enough of the warped 23rd century Babylon that he lives in, Spider escapes into a world of bitterness and pills. As he stumbles through this haze of depression and drugs, he must find a way to cover the biggest story of the year, the presidential election. Armed with only his demented mind and dark sense of humor, Spider embarks on an adventure of political cynicism, horrific sex, and unwelcome celebrity which culminates in a shocking and ruinous ending.","Comics & Graphic Novels / Science Fiction","English","2014-01-21 19:09:05","6475798","2014-09-27 04:24:28","2014-11-23 18:56:55","659ef8a628c3314e668833d3fd565912",
"20","Ellis, Warren|Robertson, Darick|Ramos, Rodney|Akin, Keith","Transmetropolitan, Vol. 4: the New Scum","9781401224905","Vertigo","2000-09-01","0","1,","Default,","0","Transmetropolitan (4)|New Edition","160","","14.99","0","","","","Paperback","0","","","Investigative reporter Spider Jerusalem attacks the injustices of the 23rd Century surroundings while working for the newspaper The Word in this critically-acclaimed graphic novel series written by comics superstar Warren Ellis, the co-creator of PLANETARY and THE AUTHORITY.","Comics & Graphic Novels / Science Fiction","English","2014-01-21 19:09:17","6941759","2014-09-27 04:24:34","2014-11-23 18:56:58","ec61d4e0631fb5be13ed0067fe4e423a",
